anio,grupo_causa,total_count,total_pop,value,lowercl,uppercl,confidence,statistic,method
2010,GC1,67909,40788453,183.800148822342,182.417809501473,185.190346240491,95%,dsr per 100000,Dobson
2011,GC1,67630,41261490,179.596950118889,178.243379693805,180.958231005841,95%,dsr per 100000,Dobson
2012,GC1,66773,41733271,173.83973136423,172.521187826301,175.16583403619,95%,dsr per 100000,Dobson
2013,GC1,70519,42202935,180.088693239436,178.759589984598,181.425210389681,95%,dsr per 100000,Dobson
2014,GC1,66539,42669500,166.515768854551,165.250760609166,167.788042100715,95%,dsr per 100000,Dobson
2015,GC1,60669,43131966,148.756505217436,147.573299967505,149.946827886619,95%,dsr per 100000,Dobson
2016,GC1,65842,43590368,158.170307986837,156.962798311241,159.384789172599,95%,dsr per 100000,Dobson
2017,GC1,63959,44044811,150.519791706658,149.354173848764,151.692237878066,95%,dsr per 100000,Dobson
2018,GC1,66201,44494502,152.637784891698,151.476094254774,153.806164235869,95%,dsr per 100000,Dobson
2019,GC1,68514,44938712,154.549032862522,153.392883485606,155.711725355595,95%,dsr per 100000,Dobson
2020,GC1,65997,45376763,145.75010419961,144.639223129166,146.867391338678,95%,dsr per 100000,Dobson
2021,GC1,74913,45808747,161.87013639781,160.711891187206,163.034649517475,95%,dsr per 100000,Dobson
2022,GC1,85008,46234830,179.091542262529,177.888232326451,180.300963988975,95%,dsr per 100000,Dobson
2023,GC1,80541,46654581,165.789981809284,164.645289154067,166.940648045298,95%,dsr per 100000,Dobson
2010,GC2,41980,40788453,113.145342218212,112.06369354828,114.234818045011,95%,dsr per 100000,Dobson
2011,GC2,42552,41261490,112.376079322683,111.308879790002,113.450949165333,95%,dsr per 100000,Dobson
2012,GC2,40796,41733271,105.638082568729,104.613536277338,106.670150056811,95%,dsr per 100000,Dobson
2013,GC2,39568,42202935,100.349283623771,99.3611301557642,101.344803295669,95%,dsr per 100000,Dobson
2014,GC2,36344,42669500,90.4265298476271,89.4976434016735,91.3626425872879,95%,dsr per 100000,Dobson
2015,GC2,34601,43131966,84.4046902527535,83.5162910351221,85.3001734907963,95%,dsr per 100000,Dobson
2016,GC2,36441,43590368,87.1085642788941,86.2152889833519,88.0087795354362,95%,dsr per 100000,Dobson
2017,GC2,33236,44044811,77.8426856874253,77.0070730531792,78.6850974873583,95%,dsr per 100000,Dobson
2018,GC2,32915,44494502,75.5949656925403,74.7796771995907,76.4169203943543,95%,dsr per 100000,Dobson
2019,GC2,34259,44938712,77.0427154909193,76.2283092797097,77.8636481858622,95%,dsr per 100000,Dobson
2020,GC2,34206,45376763,75.2188186739705,74.42307862049,76.020940584786,95%,dsr per 100000,Dobson
